user_id,fullname,email,phone,whatsapp_name,created,source,company,image,embedding,first_name,last_name,display_name,nickname,initials,dob,language,timezone,mobile,alt_phone,email_secondary,preferred_channel,email_verified_at,phone_verified_at,do_not_contact,is_blacklisted,bounced,bounce_reason,title,department,seniority,company_website,addresses,primary_address_id,primary_country,primary_city,primary_postal_code,primary_latitude,primary_longitude,primary_geohash,status,stage,score,updated,last_seen_at,last_contacted_at,last_inbound_at,campaign,utm_source,utm_medium,utm_campaign,utm_term,utm_content,referrer_url,consent_email,consent_whatsapp,consent_updated_at,website,linkedin,twitter,instagram,facebook,github,telegram,external_customer_id,currency,lifetime_value,total_orders,last_order_at,loyalty_tier,loyalty_points,brief_facts,brief_text,brief_version,brief_updated_at,interactions_count,last_interaction_at,id_country,id_type,id_last4,id_hash,id_encrypted,id_verified_at,dedupe_hash,is_deleted,notes_count,external_ids,preferences,traits,tags,created_by_id,linked_user_id,merged_into_id,owner_id,tenant_id,ctype_id
6451293e-0c81-4b3d-94f9-56506b070df5,Sofía Martínez,sofía.martínez.5@demo.example.com,+59899444094,,2026-03-10 21:06:20.824728+00:00,populate_demo,Movistar Uruguay,,,,,,,,,,,,,,,,,False,False,False,,,,,,[],,,,,,,,,,,2026-03-10 21:06:20.824868+00:00,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,"{""tags"": [], ""custom_fields"": {}, ""activity_summary"": {}}",,1,,0,,,,,,,,,False,0,{},{},{},[],6,,,,1,
c38ee621-dcf6-47f0-a008-803e1ea9e300,Ana Martínez,ana.martínez.8@demo.example.com,+59896691276,,2026-03-10 21:06:20.905556+00:00,populate_demo,Startup Labs,,,,,,,,,,,,,,,,,False,False,False,,,,,,[],,,,,,,,,,,2026-03-10 21:06:20.905611+00:00,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,"{""tags"": [], ""custom_fields"": {}, ""activity_summary"": {}}",,1,,0,,,,,,,,,False,0,{},{},{},[],2,,,,1,
983f0ca7-1679-4e01-a155-83418eff926e,José García,josé.garcía.15@demo.example.com,+59894699177,,2026-03-10 21:06:20.940911+00:00,populate_demo,dLocal,,,,,,,,,,,,,,,,,False,False,False,,,,,,[],,,,,,,,,,,2026-03-10 21:06:20.940970+00:00,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,{},,1,,0,,,,,,,,,False,0,{},{},{},[],2,,,,1,
18e64b4f-0b65-4abf-ba05-1878565d2022,Sofía Díaz,sofía.díaz.14@demo.example.com,+59897641707,,2026-03-10 21:06:20.979511+00:00,populate_demo,Acme Corp,,,,,,,,,,,,,,,,,False,False,False,,,,,,[],,,,,,,,,,,2026-03-10 21:06:20.979566+00:00,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,"{""tags"": [], ""custom_fields"": {}, ""activity_summary"": {}}",,1,,0,,,,,,,,,False,0,{},{},{},[],1,,,,1,
6d396b9c-acb6-4a0f-bbeb-8e75d9407cd3,José Pérez,josé.pérez.21@demo.example.com,+59894418361,,2026-03-10 21:06:21.022363+00:00,populate_demo,Multiahorro,,,,,,,,,,,,,,,,,False,False,False,,,,,,[],,,,,,,,,,,2026-03-10 21:06:21.022418+00:00,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,"{""tags"": [], ""custom_fields"": {}, ""activity_summary"": {}}",,1,,0,,,,,,,,,False,0,{},{},{},[],1,,,,1,
565c581c-684a-4761-8a91-caa6ba894f4f,Pedro Méndez,pedro.méndez.20@demo.example.com,+59899079907,,2026-03-10 21:06:21.033480+00:00,populate_demo,Hotel Sofitel,,,,,,,,,,,,,,,,,False,False,False,,,,,,[],,,,,,,,,,,2026-03-10 21:06:21.033530+00:00,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,{},,1,,0,,,,,,,,,False,0,{},{},{},[],7,,,,1,
7eeec81f-0e60-461e-badf-2dea8550f377,Martín López,martín.lópez.24@demo.example.com,+59896545635,,2026-03-10 21:06:21.051280+00:00,populate_demo,Acme Corp,,,,,,,,,,,,,,,,,False,False,False,,,,,,[],,,,,,,,,,,2026-03-10 21:06:21.051336+00:00,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,{},,1,,0,,,,,,,,,False,0,{},{},{},[],4,,,,1,
5a3f7a63-002c-48c1-bbc5-927a79e30bbc,María Martínez,maría.martínez.26@demo.example.com,+59895876575,,2026-03-10 21:06:21.063144+00:00,populate_demo,Restaurant García,,,,,,,,,,,,,,,,,False,False,False,,,,,,[],,,,,,,,,,,2026-03-10 21:06:21.063202+00:00,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,{},,1,,0,,,,,,,,,False,0,{},{},{},[],6,,,,1,
21bd6a2c-ad59-4bbf-8ba5-af53db72f331,Carmen Silva,carmen.silva.22@demo.example.com,+59898722735,,2026-03-10 21:06:21.064494+00:00,populate_demo,UTEC,,,,,,,,,,,,,,,,,False,False,False,,,,,,[],,,,,,,,,,,2026-03-10 21:06:21.064535+00:00,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,{},,1,,0,,,,,,,,,False,0,{},{},{},[],2,,,,1,
ebc5ebba-cfc1-4ea1-bbf8-e8ce68846521,Carmen Costa,carmen.costa.25@demo.example.com,+59891044488,,2026-03-10 21:06:21.086817+00:00,populate_demo,Campus Party,,,,,,,,,,,,,,,,,False,False,False,,,,,,[],,,,,,,,,,,2026-03-10 21:06:21.086875+00:00,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,{},,1,,0,,,,,,,,,False,0,{},{},{},[],5,,,,1,
