id,name,tenant_id,actor,entity,payload,occurred_at,created_at,correlation_id,source,routed,routed_at,flow_executions
ef3ebeda-7d0e-45c2-94fb-c3dcf61df19f,crm.activity.created,a2779fab-349e-499d-8701-200dd646f3a8,,"{""id"": ""f86fb1ae-9d3c-4743-be1e-25e3ec713bd0"", ""type"": ""activity""}","{""kind"": ""other"", ""tags"": [], ""title"": ""Llamada de cierre"", ""reason"": """", ""source"": ""manual"", ""status"": ""completed"", ""contact"": {""id"": ""304868d0-aae2-47b0-bcd8-e262e15ac34a"", ""email"": ""fernanda.ramos.247@demo.example.com"", ""phone"": ""+59892807105"", ""source"": ""populate_demo"", ""company"": """", ""type_id"": null, ""fullname"": ""Fernanda Ramos"", ""type_name"": null, ""created_at"": ""2026-03-10T21:10:19.756011+00:00"", ""updated_at"": ""2026-03-10T21:10:19.756064+00:00"", ""brief_facts"": {""tags"": [], ""custom_fields"": {}, ""activity_summary"": {}}, ""display_name"": """", ""whatsapp_name"": """", ""last_contacted_at"": null, ""interactions_count"": 0}, ""content"": {""body"": ""Actividad demo #20""}, ""deal_id"": null, ""type_key"": null, ""ticket_id"": null, ""contact_id"": ""304868d0-aae2-47b0-bcd8-e262e15ac34a"", ""visibility"": ""public"", ""activity_id"": ""f86fb1ae-9d3c-4743-be1e-25e3ec713bd0"", ""customer_id"": null, ""occurred_at"": ""2026-02-15T21:10:19.810721Z"", ""completed_at"": ""2026-02-15T21:10:19.810721Z"", ""scheduled_at"": null, ""activity_type"": ""other"", ""duration_minutes"": null, ""needs_confirmation"": false}",2026-03-10 21:10:20.078361+00:00,2026-03-10 21:10:20.078471+00:00,,api,False,,[]
fba86307-4e84-4f8d-80fb-a5f9846e1bae,crm.activity.created,a2779fab-349e-499d-8701-200dd646f3a8,,"{""id"": ""96e8fdf2-4840-4436-87ef-a54fd68bb571"", ""type"": ""activity""}","{""kind"": ""other"", ""tags"": [], ""title"": ""Visita a oficina"", ""reason"": """", ""source"": ""manual"", ""status"": ""planned"", ""content"": {""body"": ""Actividad demo #30""}, ""deal_id"": null, ""type_key"": null, ""ticket_id"": null, ""contact_id"": null, ""visibility"": ""public"", ""activity_id"": ""96e8fdf2-4840-4436-87ef-a54fd68bb571"", ""customer_id"": null, ""occurred_at"": ""2026-01-09T21:10:19.810755Z"", ""completed_at"": null, ""scheduled_at"": null, ""activity_type"": ""other"", ""duration_minutes"": null, ""needs_confirmation"": false}",2026-03-10 21:10:20.199883+00:00,2026-03-10 21:10:20.200021+00:00,,api,False,,[]
8329419e-5f33-4434-94fb-50268543b57e,crm.activity.created,a2779fab-349e-499d-8701-200dd646f3a8,,"{""id"": ""83022dc0-65fc-41f5-8b9b-97017d8a97c3"", ""type"": ""activity""}","{""kind"": ""other"", ""tags"": [], ""title"": ""Consulta técnica"", ""reason"": """", ""source"": ""manual"", ""status"": ""completed"", ""contact"": {""id"": ""76d81d0d-619f-4b4b-88aa-825a6f28ad2e"", ""email"": ""laura.gonzález.151@demo.example.com"", ""phone"": ""+59893840217"", ""source"": ""populate_demo"", ""company"": ""Globant Uruguay"", ""type_id"": null, ""fullname"": ""Laura González"", ""type_name"": null, ""created_at"": ""2026-03-10T21:10:18.651924+00:00"", ""updated_at"": ""2026-03-10T21:10:18.651976+00:00"", ""brief_facts"": {""tags"": [], ""custom_fields"": {}, ""activity_summary"": {}}, ""display_name"": """", ""whatsapp_name"": """", ""last_contacted_at"": null, ""interactions_count"": 0}, ""content"": {""body"": ""Actividad demo #37""}, ""deal_id"": null, ""type_key"": null, ""ticket_id"": null, ""contact_id"": ""76d81d0d-619f-4b4b-88aa-825a6f28ad2e"", ""visibility"": ""public"", ""activity_id"": ""83022dc0-65fc-41f5-8b9b-97017d8a97c3"", ""customer_id"": ""a50f43c9-8af7-44f5-a54b-a6b03b584b06"", ""occurred_at"": ""2026-01-14T21:10:19.810778Z"", ""completed_at"": ""2026-01-14T21:10:19.810778Z"", ""scheduled_at"": null, ""activity_type"": ""other"", ""duration_minutes"": null, ""needs_confirmation"": false}",2026-03-10 21:10:20.286115+00:00,2026-03-10 21:10:20.286227+00:00,,api,False,,[]
a5db7eaf-5862-4d66-864e-9d1b0deb729f,crm.activity.created,a2779fab-349e-499d-8701-200dd646f3a8,,"{""id"": ""f9307309-7bad-48e1-b02f-8366b3277bd7"", ""type"": ""activity""}","{""kind"": ""note"", ""tags"": [], ""title"": ""Seguimiento por email"", ""reason"": """", ""source"": ""manual"", ""status"": ""planned"", ""content"": {""body"": ""Actividad demo #54"", ""tags"": []}, ""deal_id"": null, ""type_key"": null, ""ticket_id"": null, ""contact_id"": ""027950cd-573a-4409-bbbb-1db43fb900f3"", ""visibility"": ""public"", ""activity_id"": ""f9307309-7bad-48e1-b02f-8366b3277bd7"", ""customer_id"": ""399495b0-1fdf-446c-ae9b-ba847cf71e83"", ""occurred_at"": ""2026-01-02T21:10:19.810836Z"", ""completed_at"": null, ""scheduled_at"": null, ""activity_type"": ""note"", ""duration_minutes"": null, ""needs_confirmation"": false}",2026-03-10 21:10:20.491124+00:00,2026-03-10 21:10:20.491275+00:00,,api,False,,[]
d3f51088-a577-4d18-af1c-950d393e4c09,crm.activity.created,a2779fab-349e-499d-8701-200dd646f3a8,,"{""id"": ""3d156bb0-f63f-4d7a-bcd9-93213fcba25c"", ""type"": ""activity""}","{""kind"": ""other"", ""tags"": [], ""title"": ""Almuerzo de negocios"", ""reason"": """", ""source"": ""manual"", ""status"": ""completed"", ""contact"": {""id"": ""63ab0b75-ab7d-4ca3-897f-4359be60bae7"", ""email"": ""carmen.fernández.39@demo.example.com"", ""phone"": ""+59896303439"", ""source"": ""populate_demo"", ""company"": ""Teatro Solís"", ""type_id"": null, ""fullname"": ""Carmen Fernández"", ""type_name"": null, ""created_at"": ""2026-03-10T21:10:17.162200+00:00"", ""updated_at"": ""2026-03-10T21:10:17.162253+00:00"", ""brief_facts"": {""tags"": [], ""custom_fields"": {}, ""activity_summary"": {}}, ""display_name"": """", ""whatsapp_name"": """", ""last_contacted_at"": null, ""interactions_count"": 0}, ""content"": {""body"": ""Actividad demo #57""}, ""deal_id"": null, ""type_key"": null, ""ticket_id"": null, ""contact_id"": ""63ab0b75-ab7d-4ca3-897f-4359be60bae7"", ""visibility"": ""public"", ""activity_id"": ""3d156bb0-f63f-4d7a-bcd9-93213fcba25c"", ""customer_id"": ""7474eeaf-83d6-4475-94f6-a7fdc5252aa0"", ""occurred_at"": ""2026-02-11T21:10:19.810848Z"", ""completed_at"": ""2026-02-11T21:10:19.810848Z"", ""scheduled_at"": null, ""activity_type"": ""other"", ""duration_minutes"": null, ""needs_confirmation"": false}",2026-03-10 21:10:20.516563+00:00,2026-03-10 21:10:20.516701+00:00,,api,False,,[]
5a87583b-91cc-47a9-8eca-ff9a927f99d1,crm.activity.created,a2779fab-349e-499d-8701-200dd646f3a8,,"{""id"": ""20c00738-e9cd-4c8a-8ca1-835ac72a2441"", ""type"": ""activity""}","{""kind"": ""other"", ""tags"": [], ""title"": ""Consulta técnica"", ""reason"": """", ""source"": ""manual"", ""status"": ""completed"", ""contact"": {""id"": ""91043d2b-ee6b-4b42-bf55-d2374f4f1854"", ""email"": ""josé.martínez.84@demo.example.com"", ""phone"": ""+59892089700"", ""source"": ""populate_demo"", ""company"": ""dLocal"", ""type_id"": null, ""fullname"": ""José Martínez"", ""type_name"": null, ""created_at"": ""2026-03-10T21:10:17.791548+00:00"", ""updated_at"": ""2026-03-10T21:10:17.791604+00:00"", ""brief_facts"": {""tags"": [], ""custom_fields"": {}, ""activity_summary"": {}}, ""display_name"": """", ""whatsapp_name"": """", ""last_contacted_at"": null, ""interactions_count"": 0}, ""content"": {""body"": ""Actividad demo #60""}, ""deal_id"": null, ""type_key"": null, ""ticket_id"": null, ""contact_id"": ""91043d2b-ee6b-4b42-bf55-d2374f4f1854"", ""visibility"": ""public"", ""activity_id"": ""20c00738-e9cd-4c8a-8ca1-835ac72a2441"", ""customer_id"": null, ""occurred_at"": ""2026-02-02T21:10:19.810859Z"", ""completed_at"": ""2026-02-02T21:10:19.810859Z"", ""scheduled_at"": null, ""activity_type"": ""other"", ""duration_minutes"": null, ""needs_confirmation"": false}",2026-03-10 21:10:20.583217+00:00,2026-03-10 21:10:20.583342+00:00,,api,False,,[]
67f7f1a4-ad98-4e11-acb1-69bc0b193436,crm.activity.created,a2779fab-349e-499d-8701-200dd646f3a8,,"{""id"": ""4a659ac7-57ff-4049-b882-8974fd42c681"", ""type"": ""activity""}","{""kind"": ""other"", ""tags"": [], ""title"": ""Renegociación"", ""reason"": """", ""source"": ""manual"", ""status"": ""completed"", ""content"": {""body"": ""Actividad demo #67""}, ""deal_id"": null, ""type_key"": null, ""ticket_id"": null, ""contact_id"": ""7fa303b9-680e-47ae-a609-87ca74df711c"", ""visibility"": ""public"", ""activity_id"": ""4a659ac7-57ff-4049-b882-8974fd42c681"", ""customer_id"": ""15a61c22-a080-46de-8952-865277d2c22f"", ""occurred_at"": ""2026-03-07T21:10:19.810885Z"", ""completed_at"": ""2026-03-07T21:10:19.810885Z"", ""scheduled_at"": null, ""activity_type"": ""other"", ""duration_minutes"": null, ""needs_confirmation"": false}",2026-03-10 21:10:20.638750+00:00,2026-03-10 21:10:20.638892+00:00,,api,False,,[]
81f24c25-2c04-48f3-a0a0-794652242b07,crm.activity.created,a2779fab-349e-499d-8701-200dd646f3a8,,"{""id"": ""57c31ead-1c2b-445f-8659-7b1a23b1cf87"", ""type"": ""activity""}","{""kind"": ""other"", ""tags"": [], ""title"": ""Presentación ejecutiva"", ""reason"": """", ""source"": ""manual"", ""status"": ""planned"", ""content"": {""body"": ""Actividad demo #70""}, ""deal_id"": null, ""type_key"": null, ""ticket_id"": null, ""contact_id"": null, ""visibility"": ""public"", ""activity_id"": ""57c31ead-1c2b-445f-8659-7b1a23b1cf87"", ""customer_id"": ""cd7a79a7-bbe9-452a-a2ff-79b5317e1a44"", ""occurred_at"": ""2026-03-09T21:10:19.810895Z"", ""completed_at"": null, ""scheduled_at"": null, ""activity_type"": ""other"", ""duration_minutes"": null, ""needs_confirmation"": false}",2026-03-10 21:10:20.644923+00:00,2026-03-10 21:10:20.645368+00:00,,api,False,,[]
cc28c30e-5405-4642-8908-ae630b8fd1c1,crm.activity.created,a2779fab-349e-499d-8701-200dd646f3a8,,"{""id"": ""8bdebb9e-b738-4e16-afef-fa1f9c5d8b09"", ""type"": ""activity""}","{""kind"": ""other"", ""tags"": [], ""title"": ""Tarea: enviar documentación"", ""reason"": """", ""source"": ""manual"", ""status"": ""planned"", ""content"": {""body"": ""Actividad demo #77""}, ""deal_id"": null, ""type_key"": null, ""ticket_id"": null, ""contact_id"": null, ""visibility"": ""public"", ""activity_id"": ""8bdebb9e-b738-4e16-afef-fa1f9c5d8b09"", ""customer_id"": null, ""occurred_at"": ""2026-03-10T21:10:19.810918Z"", ""completed_at"": null, ""scheduled_at"": null, ""activity_type"": ""other"", ""duration_minutes"": null, ""needs_confirmation"": false}",2026-03-10 21:10:20.778781+00:00,2026-03-10 21:10:20.779197+00:00,,api,False,,[]
38f432e2-696a-4f3d-b80c-da1a32598da2,crm.activity.created,a2779fab-349e-499d-8701-200dd646f3a8,,"{""id"": ""211a0986-2322-4749-b562-6b88d085447b"", ""type"": ""activity""}","{""kind"": ""note"", ""tags"": [], ""title"": ""Envío de propuesta"", ""reason"": """", ""source"": ""manual"", ""status"": ""completed"", ""contact"": {""id"": ""9ebe4453-d41c-4224-b66c-32f92bc24f88"", ""email"": ""diego.lópez.182@demo.example.com"", ""phone"": ""+59895987254"", ""source"": ""populate_demo"", ""company"": """", ""type_id"": null, ""fullname"": ""Diego López"", ""type_name"": null, ""created_at"": ""2026-03-10T21:10:19.042133+00:00"", ""updated_at"": ""2026-03-10T21:10:19.042177+00:00"", ""brief_facts"": {""tags"": [], ""custom_fields"": {}, ""activity_summary"": {}}, ""display_name"": """", ""whatsapp_name"": """", ""last_contacted_at"": null, ""interactions_count"": 0}, ""content"": {""body"": ""Actividad demo #85"", ""tags"": []}, ""deal_id"": null, ""type_key"": null, ""ticket_id"": null, ""contact_id"": ""9ebe4453-d41c-4224-b66c-32f92bc24f88"", ""visibility"": ""public"", ""activity_id"": ""211a0986-2322-4749-b562-6b88d085447b"", ""customer_id"": null, ""occurred_at"": ""2026-01-11T21:10:19.810945Z"", ""completed_at"": ""2026-01-11T21:10:19.810945Z"", ""scheduled_at"": null, ""activity_type"": ""note"", ""duration_minutes"": null, ""needs_confirmation"": false}",2026-03-10 21:10:20.843035+00:00,2026-03-10 21:10:20.843192+00:00,,api,False,,[]
